_month,_previousMonth,_previousYear,Date,Industry (NAICS)1,_valueConnector,Dollars
January2004,2003-12-01,2003-01-01,1/1/2004,Building material and garden equipment and supplies dealers,38776000,38776000
February2004,2004-01-01,2003-02-01,2/1/2004,Building material and garden equipment and supplies dealers,34808000,34808000
March2004,2004-02-01,2003-03-01,3/1/2004,Building material and garden equipment and supplies dealers,49431000,49431000
April2004,2004-03-01,2003-04-01,4/1/2004,Building material and garden equipment and supplies dealers,54998000,54998000
May2004,2004-04-01,2003-05-01,5/1/2004,Building material and garden equipment and supplies dealers,72020000,72020000
June2004,2004-05-01,2003-06-01,6/1/2004,Building material and garden equipment and supplies dealers,83621000,83621000
July2004,2004-06-01,2003-07-01,7/1/2004,Building material and garden equipment and supplies dealers,76503000,76503000
August2004,2004-07-01,2003-08-01,8/1/2004,Building material and garden equipment and supplies dealers,68231000,68231000
September2004,2004-08-01,2003-09-01,9/1/2004,Building material and garden equipment and supplies dealers,72989000,72989000
October2004,2004-09-01,2003-10-01,10/1/2004,Building material and garden equipment and supplies dealers,71590000,71590000
December2004,2004-11-01,2003-12-01,12/1/2004,Building material and garden equipment and supplies dealers,56144000,56144000
February2005,2005-01-01,2004-02-01,2/1/2005,Building material and garden equipment and supplies dealers,38404000,38404000
March2005,2005-02-01,2004-03-01,3/1/2005,Building material and garden equipment and supplies dealers,47219000,47219000
April2005,2005-03-01,2004-04-01,4/1/2005,Building material and garden equipment and supplies dealers,59804000,59804000
May2005,2005-04-01,2004-05-01,5/1/2005,Building material and garden equipment and supplies dealers,74134000,74134000
June2005,2005-05-01,2004-06-01,6/1/2005,Building material and garden equipment and supplies dealers,81848000,81848000
July2005,2005-06-01,2004-07-01,7/1/2005,Building material and garden equipment and supplies dealers,74862000,74862000
October2005,2005-09-01,2004-10-01,10/1/2005,Building material and garden equipment and supplies dealers,68537000,68537000
March2006,2006-02-01,2005-03-01,3/1/2006,Building material and garden equipment and supplies dealers,56156000,56156000
April2006,2006-03-01,2005-04-01,4/1/2006,Building material and garden equipment and supplies dealers,62957000,62957000
May2006,2006-04-01,2005-05-01,5/1/2006,Building material and garden equipment and supplies dealers,84653000,84653000
June2006,2006-05-01,2005-06-01,6/1/2006,Building material and garden equipment and supplies dealers,82303000,82303000
July2006,2006-06-01,2005-07-01,7/1/2006,Building material and garden equipment and supplies dealers,76444000,76444000
August2006,2006-07-01,2005-08-01,8/1/2006,Building material and garden equipment and supplies dealers,76467000,76467000
September2006,2006-08-01,2005-09-01,9/1/2006,Building material and garden equipment and supplies dealers,72632000,72632000
October2006,2006-09-01,2005-10-01,10/1/2006,Building material and garden equipment and supplies dealers,71920000,71920000
December2006,2006-11-01,2005-12-01,12/1/2006,Building material and garden equipment and supplies dealers,52293000,52293000
February2007,2007-01-01,2006-02-01,2/1/2007,Building material and garden equipment and supplies dealers,43582000,43582000
March2007,2007-02-01,2006-03-01,3/1/2007,Building material and garden equipment and supplies dealers,51612000,51612000
April2007,2007-03-01,2006-04-01,4/1/2007,Building material and garden equipment and supplies dealers,58822000,58822000
May2007,2007-04-01,2006-05-01,5/1/2007,Building material and garden equipment and supplies dealers,80124000,80124000
June2007,2007-05-01,2006-06-01,6/1/2007,Building material and garden equipment and supplies dealers,82914000,82914000
July2007,2007-06-01,2006-07-01,7/1/2007,Building material and garden equipment and supplies dealers,76909000,76909000
October2007,2007-09-01,2006-10-01,10/1/2007,Building material and garden equipment and supplies dealers,80765000,80765000
January2008,2007-12-01,2007-01-01,1/1/2008,Building material and garden equipment and supplies dealers,46370000,46370000
February2008,2008-01-01,2007-02-01,2/1/2008,Building material and garden equipment and supplies dealers,45935000,45935000
March2008,2008-02-01,2007-03-01,3/1/2008,Building material and garden equipment and supplies dealers,49792000,49792000
April2008,2008-03-01,2007-04-01,4/1/2008,Building material and garden equipment and supplies dealers,63199000,63199000
May2008,2008-04-01,2007-05-01,5/1/2008,Building material and garden equipment and supplies dealers,81211000,81211000
June2008,2008-05-01,2007-06-01,6/1/2008,Building material and garden equipment and supplies dealers,84536000,84536000
July2008,2008-06-01,2007-07-01,7/1/2008,Building material and garden equipment and supplies dealers,84081000,84081000
November2008,2008-10-01,2007-11-01,11/1/2008,Building material and garden equipment and supplies dealers,68184000,68184000
December2008,2008-11-01,2007-12-01,12/1/2008,Building material and garden equipment and supplies dealers,59486000,59486000
January2009,2008-12-01,2008-01-01,1/1/2009,Building material and garden equipment and supplies dealers,46219000,46219000
February2009,2009-01-01,2008-02-01,2/1/2009,Building material and garden equipment and supplies dealers,44891000,44891000
March2009,2009-02-01,2008-03-01,3/1/2009,Building material and garden equipment and supplies dealers,51622000,51622000
April2009,2009-03-01,2008-04-01,4/1/2009,Building material and garden equipment and supplies dealers,62763000,62763000
May2009,2009-04-01,2008-05-01,5/1/2009,Building material and garden equipment and supplies dealers,82276000,82276000
June2009,2009-05-01,2008-06-01,6/1/2009,Building material and garden equipment and supplies dealers,86342000,86342000
July2009,2009-06-01,2008-07-01,7/1/2009,Building material and garden equipment and supplies dealers,85328000,85328000
August2009,2009-07-01,2008-08-01,8/1/2009,Building material and garden equipment and supplies dealers,76613000,76613000
September2009,2009-08-01,2008-09-01,9/1/2009,Building material and garden equipment and supplies dealers,80476000,80476000
November2009,2009-10-01,2008-11-01,11/1/2009,Building material and garden equipment and supplies dealers,71777000,71777000
December2009,2009-11-01,2008-12-01,12/1/2009,Building material and garden equipment and supplies dealers,61339000,61339000
October2010,2010-09-01,2009-10-01,10/1/2010,Building material and garden equipment and supplies dealers,75445000,75445000
January2011,2010-12-01,2010-01-01,1/1/2011,Building material and garden equipment and supplies dealers,50432000,50432000
February2011,2011-01-01,2010-02-01,2/1/2011,Building material and garden equipment and supplies dealers,46901000,46901000
March2012,2012-02-01,2011-03-01,3/1/2012,Building material and garden equipment and supplies dealers,57733000,57733000
April2012,2012-03-01,2011-04-01,4/1/2012,Building material and garden equipment and supplies dealers,68220000,68220000
May2012,2012-04-01,2011-05-01,5/1/2012,Building material and garden equipment and supplies dealers,96815000,96815000
August2012,2012-07-01,2011-08-01,8/1/2012,Building material and garden equipment and supplies dealers,90427000,90427000
September2012,2012-08-01,2011-09-01,9/1/2012,Building material and garden equipment and supplies dealers,80620000,80620000
October2012,2012-09-01,2011-10-01,10/1/2012,Building material and garden equipment and supplies dealers,81345000,81345000
November2012,2012-10-01,2011-11-01,11/1/2012,Building material and garden equipment and supplies dealers,77636000,77636000
December2012,2012-11-01,2011-12-01,12/1/2012,Building material and garden equipment and supplies dealers,61615000,61615000
January2013,2012-12-01,2012-01-01,1/1/2013,Building material and garden equipment and supplies dealers,53563000,53563000
February2013,2013-01-01,2012-02-01,2/1/2013,Building material and garden equipment and supplies dealers,49799000,49799000
March2013,2013-02-01,2012-03-01,3/1/2013,Building material and garden equipment and supplies dealers,58622000,58622000
May2013,2013-04-01,2012-05-01,5/1/2013,Building material and garden equipment and supplies dealers,97407000,97407000
November2013,2013-10-01,2012-11-01,11/1/2013,Building material and garden equipment and supplies dealers,76535000,76535000
December2013,2013-11-01,2012-12-01,12/1/2013,Building material and garden equipment and supplies dealers,56513000,56513000
January2014,2013-12-01,2013-01-01,1/1/2014,Building material and garden equipment and supplies dealers,49313000,49313000
February2014,2014-01-01,2013-02-01,2/1/2014,Building material and garden equipment and supplies dealers,49129000,49129000
October2014,2014-09-01,2013-10-01,10/1/2014,Building material and garden equipment and supplies dealers,80058000,80058000
December2014,2014-11-01,2013-12-01,12/1/2014,Building material and garden equipment and supplies dealers,61129000,61129000
January2015,2014-12-01,2014-01-01,1/1/2015,Building material and garden equipment and supplies dealers,48637000,48637000
February2015,2015-01-01,2014-02-01,2/1/2015,Building material and garden equipment and supplies dealers,40160000,40160000
March2015,2015-02-01,2014-03-01,3/1/2015,Building material and garden equipment and supplies dealers,45591000,45591000
April2015,2015-03-01,2014-04-01,4/1/2015,Building material and garden equipment and supplies dealers,58806000,58806000
May2015,2015-04-01,2014-05-01,5/1/2015,Building material and garden equipment and supplies dealers,90421000,90421000
June2015,2015-05-01,2014-06-01,6/1/2015,Building material and garden equipment and supplies dealers,94528000,94528000
July2015,2015-06-01,2014-07-01,7/1/2015,Building material and garden equipment and supplies dealers,90210000,90210000
August2015,2015-07-01,2014-08-01,8/1/2015,Building material and garden equipment and supplies dealers,84150000,84150000
September2015,2015-08-01,2014-09-01,9/1/2015,Building material and garden equipment and supplies dealers,85571000,85571000
October2015,2015-09-01,2014-10-01,10/1/2015,Building material and garden equipment and supplies dealers,88072000,88072000
November2015,2015-10-01,2014-11-01,11/1/2015,Building material and garden equipment and supplies dealers,80435000,80435000
December2015,2015-11-01,2014-12-01,12/1/2015,Building material and garden equipment and supplies dealers,71355000,71355000
January2016,2015-12-01,2015-01-01,1/1/2016,Building material and garden equipment and supplies dealers,59136000,59136000
February2016,2016-01-01,2015-02-01,2/1/2016,Building material and garden equipment and supplies dealers,53771000,53771000
March2016,2016-02-01,2015-03-01,3/1/2016,Building material and garden equipment and supplies dealers,62987000,62987000
April2016,2016-03-01,2015-04-01,4/1/2016,Building material and garden equipment and supplies dealers,74589000,74589000
May2016,2016-04-01,2015-05-01,5/1/2016,Building material and garden equipment and supplies dealers,96228000,96228000
June2016,2016-05-01,2015-06-01,6/1/2016,Building material and garden equipment and supplies dealers,100226000,100226000
July2016,2016-06-01,2015-07-01,7/1/2016,Building material and garden equipment and supplies dealers,95995000,95995000
August2016,2016-07-01,2015-08-01,8/1/2016,Building material and garden equipment and supplies dealers,92089000,92089000
September2016,2016-08-01,2015-09-01,9/1/2016,Building material and garden equipment and supplies dealers,90178000,90178000
October2016,2016-09-01,2015-10-01,10/1/2016,Building material and garden equipment and supplies dealers,89287000,89287000
November2016,2016-10-01,2015-11-01,11/1/2016,Building material and garden equipment and supplies dealers,91553000,91553000
January2019,2018-12-01,2018-01-01,1/1/2019,Building material and garden equipment and supplies dealers,71375000,71375000
July2019,2019-06-01,2018-07-01,7/1/2019,Building material and garden equipment and supplies dealers,133965000,133965000
October2019,2019-09-01,2018-10-01,10/1/2019,Building material and garden equipment and supplies dealers,114542000,114542000
December2019,2019-11-01,2018-12-01,12/1/2019,Building material and garden equipment and supplies dealers,86580000,86580000
January2020,2019-12-01,2019-01-01,1/1/2020,Building material and garden equipment and supplies dealers,73590000,73590000
February2020,2020-01-01,2019-02-01,2/1/2020,Building material and garden equipment and supplies dealers,65252000,65252000
March2020,2020-02-01,2019-03-01,3/1/2020,Building material and garden equipment and supplies dealers,80105000,80105000
April2020,2020-03-01,2019-04-01,4/1/2020,Building material and garden equipment and supplies dealers,86737000,86737000
May2020,2020-04-01,2019-05-01,5/1/2020,Building material and garden equipment and supplies dealers,129480000,129480000
November2020,2020-10-01,2019-11-01,11/1/2020,Building material and garden equipment and supplies dealers,117933000,117933000
November2008,2008-10-01,2007-11-01,11/1/2008,Clothing and clothing accessories stores,49536000,49536000
December2008,2008-11-01,2007-12-01,12/1/2008,Clothing and clothing accessories stores,78957000,78957000
February2020,2020-01-01,2019-02-01,2/1/2020,Clothing and clothing accessories stores,35001000,35001000
March2020,2020-02-01,2019-03-01,3/1/2020,Clothing and clothing accessories stores,20171000,20171000
May2020,2020-04-01,2019-05-01,5/1/2020,Clothing and clothing accessories stores,9017000,9017000
May2021,2021-04-01,2020-05-01,5/1/2021,Clothing and clothing accessories stores,7607000,7607000
March2004,2004-02-01,2003-03-01,3/1/2004,Electronics and appliance stores,15920000,15920000
April2004,2004-03-01,2003-04-01,4/1/2004,Electronics and appliance stores,14735000,14735000
May2004,2004-04-01,2003-05-01,5/1/2004,Electronics and appliance stores,15393000,15393000
July2004,2004-06-01,2003-07-01,7/1/2004,Electronics and appliance stores,16630000,16630000
May2005,2005-04-01,2004-05-01,5/1/2005,Electronics and appliance stores,18076000,18076000
July2005,2005-06-01,2004-07-01,7/1/2005,Electronics and appliance stores,17854000,17854000
September2005,2005-08-01,2004-09-01,9/1/2005,Electronics and appliance stores,20387000,20387000
October2005,2005-09-01,2004-10-01,10/1/2005,Electronics and appliance stores,19149000,19149000
November2005,2005-10-01,2004-11-01,11/1/2005,Electronics and appliance stores,23050000,23050000
August2006,2006-07-01,2005-08-01,8/1/2006,Electronics and appliance stores,21103000,21103000
September2006,2006-08-01,2005-09-01,9/1/2006,Electronics and appliance stores,22408000,22408000
October2006,2006-09-01,2005-10-01,10/1/2006,Electronics and appliance stores,20546000,20546000
November2006,2006-10-01,2005-11-01,11/1/2006,Electronics and appliance stores,24568000,24568000
January2007,2006-12-01,2006-01-01,1/1/2007,Electronics and appliance stores,19038000,19038000
February2007,2007-01-01,2006-02-01,2/1/2007,Electronics and appliance stores,16584000,16584000
March2007,2007-02-01,2006-03-01,3/1/2007,Electronics and appliance stores,19880000,19880000
April2007,2007-03-01,2006-04-01,4/1/2007,Electronics and appliance stores,19267000,19267000
May2007,2007-04-01,2006-05-01,5/1/2007,Electronics and appliance stores,19982000,19982000
June2007,2007-05-01,2006-06-01,6/1/2007,Electronics and appliance stores,21011000,21011000
July2007,2007-06-01,2006-07-01,7/1/2007,Electronics and appliance stores,20452000,20452000
October2007,2007-09-01,2006-10-01,10/1/2007,Electronics and appliance stores,22329000,22329000
November2007,2007-10-01,2006-11-01,11/1/2007,Electronics and appliance stores,30491000,30491000
January2008,2007-12-01,2007-01-01,1/1/2008,Electronics and appliance stores,22732000,22732000
February2008,2008-01-01,2007-02-01,2/1/2008,Electronics and appliance stores,19637000,19637000
March2008,2008-02-01,2007-03-01,3/1/2008,Electronics and appliance stores,21538000,21538000
April2008,2008-03-01,2007-04-01,4/1/2008,Electronics and appliance stores,20754000,20754000
May2008,2008-04-01,2007-05-01,5/1/2008,Electronics and appliance stores,22209000,22209000
June2008,2008-05-01,2007-06-01,6/1/2008,Electronics and appliance stores,21167000,21167000
July2008,2008-06-01,2007-07-01,7/1/2008,Electronics and appliance stores,23636000,23636000
March2013,2013-02-01,2012-03-01,3/1/2013,Electronics and appliance stores,20311000,20311000
October2013,2013-09-01,2012-10-01,10/1/2013,Electronics and appliance stores,19405000,19405000
March2014,2014-02-01,2013-03-01,3/1/2014,Electronics and appliance stores,17642000,17642000
June2014,2014-05-01,2013-06-01,6/1/2014,Electronics and appliance stores,16606000,16606000
July2015,2015-06-01,2014-07-01,7/1/2015,Electronics and appliance stores,15418000,15418000
July2016,2016-06-01,2015-07-01,7/1/2016,Electronics and appliance stores,14718000,14718000
December2016,2016-11-01,2015-12-01,12/1/2016,Electronics and appliance stores,25290000,25290000
August2017,2017-07-01,2016-08-01,8/1/2017,Electronics and appliance stores,17168000,17168000
November2017,2017-10-01,2016-11-01,11/1/2017,Electronics and appliance stores,23483000,23483000
December2017,2017-11-01,2016-12-01,12/1/2017,Electronics and appliance stores,28710000,28710000
January2018,2017-12-01,2017-01-01,1/1/2018,Electronics and appliance stores,15265000,15265000
October2018,2018-09-01,2017-10-01,10/1/2018,Electronics and appliance stores,15172000,15172000
May2019,2019-04-01,2018-05-01,5/1/2019,Electronics and appliance stores,12759000,12759000
April2020,2020-03-01,2019-04-01,4/1/2020,Electronics and appliance stores,7549000,7549000
August2020,2020-07-01,2019-08-01,8/1/2020,Electronics and appliance stores,18441000,18441000
March2021,2021-02-01,2020-03-01,3/1/2021,Electronics and appliance stores,16415000,16415000
December2004,2004-11-01,2003-12-01,12/1/2004,Food and beverage stores,270563000,270563000
August2020,2020-07-01,2019-08-01,8/1/2020,Food and beverage stores,347601000,347601000
January2004,2003-12-01,2003-01-01,1/1/2004,Furniture and home furnishings stores,16317000,16317000
February2004,2004-01-01,2003-02-01,2/1/2004,Furniture and home furnishings stores,14396000,14396000
March2004,2004-02-01,2003-03-01,3/1/2004,Furniture and home furnishings stores,16695000,16695000
April2004,2004-03-01,2003-04-01,4/1/2004,Furniture and home furnishings stores,17779000,17779000
May2004,2004-04-01,2003-05-01,5/1/2004,Furniture and home furnishings stores,18117000,18117000
June2004,2004-05-01,2003-06-01,6/1/2004,Furniture and home furnishings stores,19678000,19678000
August2004,2004-07-01,2003-08-01,8/1/2004,Furniture and home furnishings stores,19455000,19455000
September2004,2004-08-01,2003-09-01,9/1/2004,Furniture and home furnishings stores,22100000,22100000
October2004,2004-09-01,2003-10-01,10/1/2004,Furniture and home furnishings stores,21830000,21830000
November2004,2004-10-01,2003-11-01,11/1/2004,Furniture and home furnishings stores,21812000,21812000
December2004,2004-11-01,2003-12-01,12/1/2004,Furniture and home furnishings stores,28488000,28488000
February2005,2005-01-01,2004-02-01,2/1/2005,Furniture and home furnishings stores,15595000,15595000
March2005,2005-02-01,2004-03-01,3/1/2005,Furniture and home furnishings stores,16761000,16761000
April2005,2005-03-01,2004-04-01,4/1/2005,Furniture and home furnishings stores,18087000,18087000
May2005,2005-04-01,2004-05-01,5/1/2005,Furniture and home furnishings stores,18850000,18850000
June2005,2005-05-01,2004-06-01,6/1/2005,Furniture and home furnishings stores,19309000,19309000
July2005,2005-06-01,2004-07-01,7/1/2005,Furniture and home furnishings stores,19764000,19764000
August2005,2005-07-01,2004-08-01,8/1/2005,Furniture and home furnishings stores,21781000,21781000
September2005,2005-08-01,2004-09-01,9/1/2005,Furniture and home furnishings stores,22062000,22062000
October2005,2005-09-01,2004-10-01,10/1/2005,Furniture and home furnishings stores,22629000,22629000
November2005,2005-10-01,2004-11-01,11/1/2005,Furniture and home furnishings stores,25453000,25453000
December2005,2005-11-01,2004-12-01,12/1/2005,Furniture and home furnishings stores,32633000,32633000
January2006,2005-12-01,2005-01-01,1/1/2006,Furniture and home furnishings stores,17731000,17731000
June2006,2006-05-01,2005-06-01,6/1/2006,Furniture and home furnishings stores,21347000,21347000
July2006,2006-06-01,2005-07-01,7/1/2006,Furniture and home furnishings stores,23550000,23550000
September2006,2006-08-01,2005-09-01,9/1/2006,Furniture and home furnishings stores,23385000,23385000
October2006,2006-09-01,2005-10-01,10/1/2006,Furniture and home furnishings stores,24242000,24242000
January2007,2006-12-01,2006-01-01,1/1/2007,Furniture and home furnishings stores,21288000,21288000
April2007,2007-03-01,2006-04-01,4/1/2007,Furniture and home furnishings stores,22395000,22395000
May2007,2007-04-01,2006-05-01,5/1/2007,Furniture and home furnishings stores,25242000,25242000
June2007,2007-05-01,2006-06-01,6/1/2007,Furniture and home furnishings stores,24322000,24322000
July2007,2007-06-01,2006-07-01,7/1/2007,Furniture and home furnishings stores,25026000,25026000
August2007,2007-07-01,2006-08-01,8/1/2007,Furniture and home furnishings stores,26804000,26804000
September2007,2007-08-01,2006-09-01,9/1/2007,Furniture and home furnishings stores,24129000,24129000
October2007,2007-09-01,2006-10-01,10/1/2007,Furniture and home furnishings stores,24838000,24838000
November2007,2007-10-01,2006-11-01,11/1/2007,Furniture and home furnishings stores,27731000,27731000
January2008,2007-12-01,2007-01-01,1/1/2008,Furniture and home furnishings stores,21419000,21419000
April2008,2008-03-01,2007-04-01,4/1/2008,Furniture and home furnishings stores,23554000,23554000
September2008,2008-08-01,2007-09-01,9/1/2008,Furniture and home furnishings stores,28716000,28716000
May2010,2010-04-01,2009-05-01,5/1/2010,Furniture and home furnishings stores,25055000,25055000
February2011,2011-01-01,2010-02-01,2/1/2011,Furniture and home furnishings stores,19957000,19957000
March2011,2011-02-01,2010-03-01,3/1/2011,Furniture and home furnishings stores,24587000,24587000
April2011,2011-03-01,2010-04-01,4/1/2011,Furniture and home furnishings stores,22118000,22118000
May2011,2011-04-01,2010-05-01,5/1/2011,Furniture and home furnishings stores,25289000,25289000
June2011,2011-05-01,2010-06-01,6/1/2011,Furniture and home furnishings stores,24366000,24366000
July2011,2011-06-01,2010-07-01,7/1/2011,Furniture and home furnishings stores,24356000,24356000
August2011,2011-07-01,2010-08-01,8/1/2011,Furniture and home furnishings stores,24951000,24951000
September2011,2011-08-01,2010-09-01,9/1/2011,Furniture and home furnishings stores,26183000,26183000
November2011,2011-10-01,2010-11-01,11/1/2011,Furniture and home furnishings stores,27830000,27830000
December2011,2011-11-01,2010-12-01,12/1/2011,Furniture and home furnishings stores,32780000,32780000
January2012,2011-12-01,2011-01-01,1/1/2012,Furniture and home furnishings stores,22480000,22480000
March2012,2012-02-01,2011-03-01,3/1/2012,Furniture and home furnishings stores,25279000,25279000
April2012,2012-03-01,2011-04-01,4/1/2012,Furniture and home furnishings stores,22194000,22194000
May2012,2012-04-01,2011-05-01,5/1/2012,Furniture and home furnishings stores,24636000,24636000
June2012,2012-05-01,2011-06-01,6/1/2012,Furniture and home furnishings stores,25523000,25523000
July2012,2012-06-01,2011-07-01,7/1/2012,Furniture and home furnishings stores,24241000,24241000
August2012,2012-07-01,2011-08-01,8/1/2012,Furniture and home furnishings stores,25118000,25118000
September2012,2012-08-01,2011-09-01,9/1/2012,Furniture and home furnishings stores,26267000,26267000
November2012,2012-10-01,2011-11-01,11/1/2012,Furniture and home furnishings stores,28541000,28541000
December2012,2012-11-01,2011-12-01,12/1/2012,Furniture and home furnishings stores,32554000,32554000
March2013,2013-02-01,2012-03-01,3/1/2013,Furniture and home furnishings stores,23669000,23669000
April2013,2013-03-01,2012-04-01,4/1/2013,Furniture and home furnishings stores,22645000,22645000
May2013,2013-04-01,2012-05-01,5/1/2013,Furniture and home furnishings stores,25869000,25869000
August2013,2013-07-01,2012-08-01,8/1/2013,Furniture and home furnishings stores,25705000,25705000
September2013,2013-08-01,2012-09-01,9/1/2013,Furniture and home furnishings stores,25705000,25705000
November2013,2013-10-01,2012-11-01,11/1/2013,Furniture and home furnishings stores,28755000,28755000
July2014,2014-06-01,2013-07-01,7/1/2014,Furniture and home furnishings stores,24473000,24473000
August2014,2014-07-01,2013-08-01,8/1/2014,Furniture and home furnishings stores,25797000,25797000
September2014,2014-08-01,2013-09-01,9/1/2014,Furniture and home furnishings stores,25172000,25172000
November2014,2014-10-01,2013-11-01,11/1/2014,Furniture and home furnishings stores,27407000,27407000
January2015,2014-12-01,2014-01-01,1/1/2015,Furniture and home furnishings stores,19605000,19605000
July2015,2015-06-01,2014-07-01,7/1/2015,Furniture and home furnishings stores,27378000,27378000
March2016,2016-02-01,2015-03-01,3/1/2016,Furniture and home furnishings stores,22167000,22167000
August2019,2019-07-01,2018-08-01,8/1/2019,Furniture and home furnishings stores,38409000,38409000
September2019,2019-08-01,2018-09-01,9/1/2019,Furniture and home furnishings stores,35101000,35101000
October2019,2019-09-01,2018-10-01,10/1/2019,Furniture and home furnishings stores,35852000,35852000
November2019,2019-10-01,2018-11-01,11/1/2019,Furniture and home furnishings stores,38539000,38539000
February2020,2020-01-01,2019-02-01,2/1/2020,Furniture and home furnishings stores,27353000,27353000
March2020,2020-02-01,2019-03-01,3/1/2020,Furniture and home furnishings stores,23674000,23674000
June2020,2020-05-01,2019-06-01,6/1/2020,Furniture and home furnishings stores,36674000,36674000
July2020,2020-06-01,2019-07-01,7/1/2020,Furniture and home furnishings stores,39438000,39438000
August2020,2020-07-01,2019-08-01,8/1/2020,Furniture and home furnishings stores,37236000,37236000
September2020,2020-08-01,2019-09-01,9/1/2020,Furniture and home furnishings stores,41823000,41823000
October2020,2020-09-01,2019-10-01,10/1/2020,Furniture and home furnishings stores,40229000,40229000
May2021,2021-04-01,2020-05-01,5/1/2021,Furniture and home furnishings stores,20329000,20329000
January2004,2003-12-01,2003-01-01,1/1/2004,Gasoline stations,76393000,76393000
February2004,2004-01-01,2003-02-01,2/1/2004,Gasoline stations,70742000,70742000
March2004,2004-02-01,2003-03-01,3/1/2004,Gasoline stations,80103000,80103000
April2004,2004-03-01,2003-04-01,4/1/2004,Gasoline stations,78245000,78245000
May2004,2004-04-01,2003-05-01,5/1/2004,Gasoline stations,92243000,92243000
June2004,2004-05-01,2003-06-01,6/1/2004,Gasoline stations,92271000,92271000
July2004,2004-06-01,2003-07-01,7/1/2004,Gasoline stations,99234000,99234000
August2004,2004-07-01,2003-08-01,8/1/2004,Gasoline stations,99665000,99665000
September2004,2004-08-01,2003-09-01,9/1/2004,Gasoline stations,91970000,91970000
October2004,2004-09-01,2003-10-01,10/1/2004,Gasoline stations,92122000,92122000
November2004,2004-10-01,2003-11-01,11/1/2004,Gasoline stations,89560000,89560000
December2004,2004-11-01,2003-12-01,12/1/2004,Gasoline stations,83690000,83690000
March2005,2005-02-01,2004-03-01,3/1/2005,Gasoline stations,78326000,78326000
April2005,2005-03-01,2004-04-01,4/1/2005,Gasoline stations,78811000,78811000
May2005,2005-04-01,2004-05-01,5/1/2005,Gasoline stations,81437000,81437000
June2005,2005-05-01,2004-06-01,6/1/2005,Gasoline stations,88282000,88282000
July2005,2005-06-01,2004-07-01,7/1/2005,Gasoline stations,92836000,92836000
August2005,2005-07-01,2004-08-01,8/1/2005,Gasoline stations,100318000,100318000
September2005,2005-08-01,2004-09-01,9/1/2005,Gasoline stations,94993000,94993000
October2005,2005-09-01,2004-10-01,10/1/2005,Gasoline stations,87968000,87968000
November2005,2005-10-01,2004-11-01,11/1/2005,Gasoline stations,77589000,77589000
December2005,2005-11-01,2004-12-01,12/1/2005,Gasoline stations,86033000,86033000
April2006,2006-03-01,2005-04-01,4/1/2006,Gasoline stations,91228000,91228000
May2006,2006-04-01,2005-05-01,5/1/2006,Gasoline stations,100476000,100476000
June2006,2006-05-01,2005-06-01,6/1/2006,Gasoline stations,100476000,100476000
July2006,2006-06-01,2005-07-01,7/1/2006,Gasoline stations,109956000,109956000
August2006,2006-07-01,2005-08-01,8/1/2006,Gasoline stations,113745000,113745000
September2006,2006-08-01,2005-09-01,9/1/2006,Gasoline stations,89141000,89141000
October2006,2006-09-01,2005-10-01,10/1/2006,Gasoline stations,92386000,92386000
November2006,2006-10-01,2005-11-01,11/1/2006,Gasoline stations,88571000,88571000
January2007,2006-12-01,2006-01-01,1/1/2007,Gasoline stations,86542000,86542000
February2007,2007-01-01,2006-02-01,2/1/2007,Gasoline stations,80717000,80717000
March2007,2007-02-01,2006-03-01,3/1/2007,Gasoline stations,99290000,99290000
April2007,2007-03-01,2006-04-01,4/1/2007,Gasoline stations,99387000,99387000
May2007,2007-04-01,2006-05-01,5/1/2007,Gasoline stations,115498000,115498000
June2007,2007-05-01,2006-06-01,6/1/2007,Gasoline stations,114600000,114600000
July2007,2007-06-01,2006-07-01,7/1/2007,Gasoline stations,121834000,121834000
September2007,2007-08-01,2006-09-01,9/1/2007,Gasoline stations,107566000,107566000
October2007,2007-09-01,2006-10-01,10/1/2007,Gasoline stations,109416000,109416000
November2007,2007-10-01,2006-11-01,11/1/2007,Gasoline stations,113291000,113291000
December2007,2007-11-01,2006-12-01,12/1/2007,Gasoline stations,108353000,108353000
January2008,2007-12-01,2007-01-01,1/1/2008,Gasoline stations,105812000,105812000
February2008,2008-01-01,2007-02-01,2/1/2008,Gasoline stations,101536000,101536000
March2008,2008-02-01,2007-03-01,3/1/2008,Gasoline stations,108804000,108804000
April2008,2008-03-01,2007-04-01,4/1/2008,Gasoline stations,116252000,116252000
June2008,2008-05-01,2007-06-01,6/1/2008,Gasoline stations,142227000,142227000
January2009,2008-12-01,2008-01-01,1/1/2009,Gasoline stations,85184000,85184000
February2009,2009-01-01,2008-02-01,2/1/2009,Gasoline stations,83433000,83433000
March2009,2009-02-01,2008-03-01,3/1/2009,Gasoline stations,92327000,92327000
April2009,2009-03-01,2008-04-01,4/1/2009,Gasoline stations,99926000,99926000
May2009,2009-04-01,2008-05-01,5/1/2009,Gasoline stations,117367000,117367000
June2009,2009-05-01,2008-06-01,6/1/2009,Gasoline stations,124185000,124185000
July2009,2009-06-01,2008-07-01,7/1/2009,Gasoline stations,130425000,130425000
August2009,2009-07-01,2008-08-01,8/1/2009,Gasoline stations,136673000,136673000
September2009,2009-08-01,2008-09-01,9/1/2009,Gasoline stations,121440000,121440000
October2009,2009-09-01,2008-10-01,10/1/2009,Gasoline stations,123161000,123161000
